,project_id,property_type,sqft,zip,region,has_wood_frame,has_vert_wood_frame,has_horz_wood_frame,wf_vertconst,wf_horzconst,has_concrete,has_glu,num_floors,num_tenants,age
0,451165,Retail,12808,46123,MW,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,One,4,
1,350106,Retail,10958,43055,MW,1,0,1,"[""Concrete masonry unit load bearing walls with interior steel columns"", ""Light-gauge steel""]","[""Wood-framing with wood decking""]",1,0,1,1,
2,384179,Retail,13,46360,MW,0,0,0,"[""Steel-framed""]","[""Open-web steel joists with steel decking""]",0,0,1,one,
3,402102,Retail,82,06902,NE,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,1,One,
4,417214,Retail,11204,44062,MW,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,1,1,
5,323987,Retail,25,94114,W,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Cast-in-place concrete with post tension concrete slabs""]",1,0,Two with rooftop parking ,Three ,
6,409030,Retail,45919,33624,SE,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Other"", ""a mezzanine level located at the southeast corner of the structure. ""]",1,0,1 with mezzanine,1,
7,424356,Retail,17,95212,W,0,0,0,"[""Cast-in-place concrete""]","[""No upper floors present""]",1,0,One,One,
8,509677,Retail,10500,72512,SE,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,1,1,
9,376933,Retail,3231,92672,W,0,0,0,"[""Steel-framed""]","[""No upper floors present""]",0,0,One,One,
10,391598,Retail,12467,37354,SE,0,0,0,"[""Masonry wythe bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",0,0,1,One,
11,494184,Retail,2000,77598,SW,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,2,0,
12,507879,Retail,45200,78207,SW,0,0,0,"[""Precast concrete wall panels, concrete columns, steel stud partition framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,One with mezzanine ,1,
13,573301,Retail,10531,73028,SW,0,0,0,"[""Pre-engineered steel structure""]","[""No upper floors present""]",0,0,1,1,
14,576666,Retail,9984,79835,SW,0,0,0,"[""Steel-framed""]","[""No upper floors present""]",0,0,One,1,
15,579819,Retail,10640,60960,MW,0,0,0,"[""Pre-engineered steel structure""]","[""No upper floors present""]",0,0,One,1,
16,578996,Retail,2586,29853,SE,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""No upper floors present""]",1,0,One,1,35
17,579418,Retail,10640,54745,MW,0,0,0,"[""Pre-engineered steel structure""]","[""No upper floors present""]",0,0,One,1,1
18,579415,Retail,10640,53910,MW,0,0,0,"[""Pre-engineered steel structure""]","[""No upper floors present""]",0,0,One,1,1
19,578998,Retail,3370,29945,SE,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,One,1,
20,579417,Retail,10750,54111,MW,0,0,0,"[""Pre-engineered steel structure""]","[""No upper floors present""]",0,0,One,1,
