Unnamed: 0,project_id,property_type,sqft,zip,region,has_wood_frame,has_vert_wood_frame,has_horz_wood_frame,wf_vertconst,wf_horzconst,has_concrete,has_glu,num_floors,num_tenants,age,property_type_encoded
0,451165,Retail,12808,46123.0,2,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,4.0,,3
1,350106,Retail,10958,43055.0,2,1,0,1,"[""Concrete masonry unit load bearing walls with interior steel columns"", ""Light-gauge steel""]","[""Wood-framing with wood decking""]",1,0,1.0,1.0,,3
2,384179,Retail,13,46360.0,2,0,0,0,"[""Steel-framed""]","[""Open-web steel joists with steel decking""]",0,0,1.0,1.0,,3
3,402102,Retail,82,6902.0,1,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,1.0,1.0,,3
4,417214,Retail,11204,44062.0,2,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,1.0,,3
5,323987,Retail,25,94114.0,2,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Cast-in-place concrete with post tension concrete slabs""]",1,0,2.0,3.0,,3
6,409030,Retail,45919,33624.0,3,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Other"", ""a mezzanine level located at the southeast corner of the structure. ""]",1,0,1.0,1.0,,3
7,424356,Retail,17,95212.0,2,0,0,0,"[""Cast-in-place concrete""]","[""No upper floors present""]",1,0,1.0,1.0,,3
8,509677,Retail,10500,72512.0,3,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,1.0,,3
9,376933,Retail,3231,92672.0,2,0,0,0,"[""Steel-framed""]","[""No upper floors present""]",0,0,1.0,1.0,,3
10,391598,Retail,12467,37354.0,3,0,0,0,"[""Masonry wythe bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",0,0,1.0,1.0,,3
11,494184,Retail,2000,77598.0,4,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,2.0,0.0,,3
12,507879,Retail,45200,78207.0,4,0,0,0,"[""Precast concrete wall panels, concrete columns, steel stud partition framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,1.0,1.0,,3
13,573301,Retail,10531,73028.0,4,0,0,0,"[""Pre-engineered steel structure""]","[""No upper floors present""]",0,0,1.0,1.0,,3
14,576666,Retail,9984,79835.0,4,0,0,0,"[""Steel-framed""]","[""No upper floors present""]",0,0,1.0,1.0,,3
15,579819,Retail,10640,60960.0,2,0,0,0,"[""Pre-engineered steel structure""]","[""No upper floors present""]",0,0,1.0,1.0,,3
16,578996,Retail,2586,29853.0,3,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,1.0,35.0,3
